© 2000-2026 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Cellular response to mitochondrial stress	6.14E-01	4.35E-02	NaN	EIF2B2	
Tryptophan Degradation III (Eukaryotic)	6.14E-01	4.35E-02	NaN	ACAT1	
Apelin Cardiac Fibroblast Signaling Pathway	6.14E-01	4.35E-02	NaN	AKT1	
DNA Replication Pre-Initiation	6.12E-01	2.11E-02	NaN	H2AJ,MCM3,UBE2S	
Adrenomedullin signaling pathway	6.12E-01	1.91E-02	NaN	AKT1,MAP2K1,MAPK15,MAPK9	
Signaling by MET	6.09E-01	2.53E-02	NaN	EPS15,SPINT1	
MSP-RON Signaling in Cancer Cells Pathway	6.06E-01	2.1E-02	NaN	AKT1,CTNNB1,MAP2K1	
G alpha (12/13) signalling events	6.01E-01	2.5E-02	NaN	AKAP13,GNG5	
Other interleukin signaling	5.98E-01	4.17E-02	NaN	STX4	
Regulation of RUNX1 Expression and Activity	5.98E-01	4.17E-02	NaN	CBFB	
Vitamin-C Transport	5.98E-01	4.17E-02	NaN	STOM	
Integrin to Cytoskeleton Signaling Pathway	5.98E-01	1.89E-02	NaN	AKT1,ITGAV,MAP2K1,WASL	
Signaling by NTRK1 (TRKA)	5.94E-01	2.47E-02	NaN	AP2A1,MAP2K1	
IL-3 Signaling	5.94E-01	2.47E-02	NaN	AKT1,MAP2K1	
ER-Mitochondrial Communication Signaling Pathway	5.86E-01	2.44E-02	NaN	AKT1,SYNJ2BP	
FLT3 Signaling in Hematopoietic Progenitor Cells	5.86E-01	2.44E-02	NaN	AKT1,MAP2K1	
PIP3 activates AKT signaling	5.79E-01	2.03E-02	NaN	AKT1,MLST8,PDGFA	
JAK/STAT Signaling	5.79E-01	2.41E-02	NaN	AKT1,MAP2K1	
Huntington's Disease Signaling	5.77E-01	1.74E-02	NaN	AKT1,DYNC1I2,GNG5,MAPK9,UBE2S	
Calcium Signaling	5.72E-01	1.83E-02	NaN	CASQ2,MYH10,MYH14,MYO10	
Puberty Induction Signaling Pathway	5.72E-01	2.38E-02	NaN	AKT1,CGA	
Leptin Signaling in Obesity	5.72E-01	2.38E-02	NaN	AKT1,MAP2K1	
BMAL1:CLOCK,NPAS2 activates circadian expression	5.68E-01	3.85E-02	NaN	AVP	
Metabolism of porphyrins	5.68E-01	3.85E-02	NaN	CPOX	
Miscellaneous transport and binding events	5.68E-01	3.85E-02	NaN	ADD1	
Glycogen metabolism	5.68E-01	3.85E-02	NaN	AKR1E2	
IL-17A Signaling in Gastric Cells	5.68E-01	3.85E-02	NaN	MAPK9	
Multiple Sclerosis Signaling Pathway	5.67E-01	1.83E-02	NaN	HLA-A,Il36a,MASP1,TNFRSF1A	
Axonal Periodic Cytoskeleton Signaling Pathway	5.64E-01	2.35E-02	NaN	ADD1,MYH10	
LPS-stimulated MAPK Signaling	5.64E-01	2.35E-02	NaN	MAP2K1,MAPK9	
PTEN Signaling	5.63E-01	1.99E-02	NaN	AKT1,ITGAV,MAP2K1	
ERK/MAPK Signaling	5.63E-01	1.82E-02	NaN	ITGAV,MAP2K1,PPP1R11,PPP1R14A	
FGF Signaling	5.57E-01	2.33E-02	NaN	AKT1,MAP2K1	
Xenobiotic Metabolism PXR Signaling Pathway	5.55E-01	1.8E-02	NaN	DNAJC7,Gstp1 (includes others),GSTT1,GSTZ1	
Integrin signaling	5.55E-01	3.7E-02	NaN	AKT1	
Cardiogenesis	5.55E-01	3.7E-02	NaN	CTNNB1	
PDGF Signaling	5.5E-01	2.3E-02	NaN	MAP2K1,PDGFA	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	5.48E-01	1.95E-02	NaN	Il36a,MAPK9,RIGI	
Transcriptional regulation of granulopoiesis	5.44E-01	2.27E-02	NaN	CBFB,H2AJ	
Relaxin Signaling	5.43E-01	1.94E-02	NaN	AKT1,GNG5,MAP2K1	
Endocannabinoid Neuronal Synapse Pathway	5.33E-01	1.91E-02	NaN	GNG5,MAPK15,MAPK9	
Cachexia Signaling Pathway	5.32E-01	1.61E-02	NaN	AKT1,EIF2B2,Il36a,MAPK9,MYOC,TNFRSF1A	
Histone Modification Signaling Pathway	5.31E-01	1.67E-02	NaN	CHD1,CHD4,MAPK9,PRMT5,TP53BP1	
Tuberculosis Latent Signaling Pathway	5.3E-01	2.22E-02	NaN	ACAT1,TNFRSF1A	
TNFs bind their physiological receptors	5.28E-01	3.45E-02	NaN	TNFRSF1A	
Processing of Capped Intronless Pre-mRNA	5.28E-01	3.45E-02	NaN	NCBP2	
Paracetamol ADME	5.28E-01	3.45E-02	NaN	GSTT1	
Role of p14/p19ARF in Tumor Suppression	5.28E-01	3.45E-02	NaN	NPM3	
Factors Promoting Cardiogenesis in Vertebrates	5.28E-01	1.9E-02	NaN	CTNNB1,LRP6,MAPK9	
Epithelial Adherens Junction Signaling	5.28E-01	1.9E-02	NaN	AKT1,CTNNB1,MYH10	
S-Adenosylmethionine Regulatory Signaling Pathway	5.24E-01	2.2E-02	NaN	MAT2B,MLST8	
Actin Nucleation by ARP-WASP Complex	5.24E-01	2.2E-02	NaN	ITGAV,WASL	
NER (Nucleotide Excision Repair, Enhanced Pathway)	5.24E-01	2.2E-02	NaN	POLE3,TCEA1	
Cell junction organization	5.17E-01	2.17E-02	NaN	CDH17,CTNNB1	
Acute Myeloid Leukemia Signaling	5.17E-01	2.17E-02	NaN	AKT1,MAP2K1	
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	5.17E-01	2.17E-02	NaN	ISG15,RIGI	
Signaling by NTRK3 (TRKC)	5.16E-01	3.33E-02	NaN	PTPRS	
Superpathway of Cholesterol Biosynthesis	5.16E-01	3.33E-02	NaN	ACAT1	
Microautophagy Signaling Pathway	5.14E-01	1.86E-02	NaN	CHMP5,COL6A5,MAP1LC3A	
Signaling by BMP	5.04E-01	3.23E-02	NaN	SMURF1	
Glutamate binding, activation of AMPA receptors and synaptic plasticity	5.04E-01	3.23E-02	NaN	AP2A1	
Transcriptional regulation of brown and beige adipocyte differentiation	5.04E-01	3.23E-02	NaN	CHD4	
SWI/SNF chromatin remodelers	5.04E-01	3.23E-02	NaN	SMARCC1	
Transcriptional Regulatory Network in Embryonic Stem Cells	5E-01	1.83E-02	NaN	AKT1,CTNNB1,MAP2K1	
Role of NFAT in Cardiac Hypertrophy	5E-01	1.69E-02	NaN	AKT1,GNG5,MAP2K1,MAPK9	
RUNX1 regulates megakaryocyte differentiation and platelet function	4.99E-01	2.11E-02	NaN	CBFB,H2AJ	
Coronavirus Pathogenesis Pathway	4.96E-01	1.69E-02	NaN	MAPK9,NUP98,RIGI,RPS23	
HOTAIR Regulatory Pathway	4.96E-01	1.82E-02	NaN	AKT1,CTNNB1,MMP13	
Toll-like Receptor Cascades	4.93E-01	3.12E-02	NaN	RBSN	
RHO GTPases activate IQGAPs	4.93E-01	3.12E-02	NaN	CTNNB1	
Endosomal Sorting Complex Required For Transport (ESCRT)	4.93E-01	3.12E-02	NaN	CHMP5	
Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells	4.93E-01	3.12E-02	NaN	ITGAV	
Osteoarthritis Pathway	4.92E-01	1.68E-02	NaN	CTNNB1,ITGAV,MMP13,TNFRSF1A	
Fcgamma receptor (FCGR) dependent phagocytosis	4.83E-01	1.79E-02	NaN	MYO10,NCKAP1,WASL	
Gαq Signaling	4.83E-01	1.79E-02	NaN	AKT1,GNG5,MAP2K1	
Toll Like Receptor 3 (TLR3) Cascade	4.82E-01	3.03E-02	NaN	UBE2D2	
Unfolded Protein Response (UPR)	4.82E-01	3.03E-02	NaN	EIF2B2	
Signal amplification	4.82E-01	3.03E-02	NaN	GNG5	
MAPK targets/ Nuclear events mediated by MAP kinases	4.82E-01	3.03E-02	NaN	MAPK9	
Small Cell Lung Cancer Signaling	4.81E-01	2.04E-02	NaN	AKT1,FHIT	
IL-1 Signaling	4.81E-01	2.04E-02	NaN	GNG5,MAPK9	
Cardiac β-adrenergic Signaling	4.78E-01	1.78E-02	NaN	AKAP13,GNG5,PALM2AKAP2	
Cargo concentration in the ER	4.72E-01	2.94E-02	NaN	LMAN2L	
Neuronal Cancer Synapse Signaling Pathway	4.71E-01	1.64E-02	NaN	AKT1,CTNNB1,MAP2K1,MMP13	
Tuberculosis Active Signaling Pathway	4.67E-01	1.63E-02	NaN	AKT1,MAPK9,TNFRSF1A,ULK1	
S Phase	4.64E-01	1.98E-02	NaN	AKT1,SMC3	
Coagulation System	4.61E-01	2.86E-02	NaN	PLG	
Ubiquinol-10 Biosynthesis (Eukaryotic)	4.61E-01	2.86E-02	NaN	ECHDC1	
Epithelial Membrane Protein Signaling Pathway	4.61E-01	1.73E-02	NaN	AKT1,ITGAV,MAP2K1	
COPI-mediated anterograde transport	4.59E-01	1.96E-02	NaN	DCTN6,DYNC1I2	
Androgen Signaling	4.53E-01	1.71E-02	NaN	GNG5,GTF2E1,GTF2F2	
Netrin Signaling	4.53E-01	1.71E-02	NaN	AKT1,MAP2K1,WASL	
GPER1 signaling	4.53E-01	1.94E-02	NaN	GNG5,NME4	
mRNA 3 Prime End Processing Signaling Pathway	4.53E-01	1.94E-02	NaN	DIS3,EXOSC7	
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	4.52E-01	2.78E-02	NaN	CGA	
Th1 and Th2 Activation Pathway	4.49E-01	1.7E-02	NaN	CHD4,HLA-A,ICOSLG	
NoRC negatively regulates rRNA expression	4.48E-01	1.92E-02	NaN	H2AJ,SAP18	
IGF-1 Signaling	4.43E-01	1.9E-02	NaN	AKT1,MAP2K1	
Fatty acyl-CoA biosynthesis	4.42E-01	2.7E-02	NaN	ACSBG1	
Interferon Signaling	4.42E-01	2.7E-02	NaN	ISG15	
Myelination Signaling Pathway	4.4E-01	1.52E-02	NaN	AKT1,CTNNB1,MAP2K1,MLST8,PDGFA	
Paxillin Signaling	4.37E-01	1.89E-02	NaN	ITGAV,MAPK9	
Apoptosis Signaling	4.37E-01	1.89E-02	NaN	MAP2K1,TNFRSF1A	
MyD88-independent TLR4 cascade	4.33E-01	2.63E-02	NaN	UBE2D2	
Resolution of Abasic Sites (AP sites)	4.33E-01	2.63E-02	NaN	POLE3	
tRNA Charging	4.33E-01	2.63E-02	NaN	EPRS1	
Sphingolipid metabolism	4.32E-01	1.87E-02	NaN	CYB5B,GLB1L3	
Post-translational protein phosphorylation	4.32E-01	1.87E-02	NaN	DNAJC3,SCG3	
Aryl Hydrocarbon Receptor Signaling	4.26E-01	1.65E-02	NaN	Gstp1 (includes others),GSTT1,GSTZ1	
Protein Sorting Signaling Pathway	4.26E-01	1.65E-02	NaN	CLINT1,SNX18,WASHC4	
NGF-stimulated transcription	4.24E-01	2.56E-02	NaN	CHD4	
FLT3 Signaling	4.24E-01	2.56E-02	NaN	AKT1	
Complement System	4.24E-01	2.56E-02	NaN	MASP1	
Nucleotide Excision Repair	4.22E-01	1.83E-02	NaN	POLE3,TCEA1	
Mitochondrial translation	4.17E-01	1.82E-02	NaN	MRPL12,MRRF	
MITF-M-dependent gene expression	4.17E-01	1.82E-02	NaN	CTNNB1,SMARCC1	
α-Adrenergic Signaling	4.17E-01	1.82E-02	NaN	GNG5,MAP2K1	
Senescence-Associated Secretory Phenotype (SASP)	4.13E-01	1.8E-02	NaN	H2AJ,UBE2S	
RNA Polymerase I Transcription	4.13E-01	1.8E-02	NaN	CHD4,H2AJ	
RBP4 in Immune and Metabolic Regulation Signaling Pathway	4.13E-01	1.8E-02	NaN	AKT1,MAPK9	
Phase I - Functionalization of compounds	4.08E-01	1.79E-02	NaN	CYB5B,FDX2	
Pyrimidine Ribonucleotides Interconversion	4.07E-01	2.44E-02	NaN	NME4	
Regulation of Actin-based Motility by Rho	4.03E-01	1.77E-02	NaN	ITGAV,WASL	
Regulation of beta-cell development	3.99E-01	2.38E-02	NaN	AKT1	
April Mediated Signaling	3.99E-01	2.38E-02	NaN	MAPK9	
Antigen Presentation Pathway	3.99E-01	2.38E-02	NaN	HLA-A	
Airway Pathology in Chronic Obstructive Pulmonary Disease	3.99E-01	1.75E-02	NaN	AMBP,Il36a	
Cardiac Conduction Signaling Pathway	3.94E-01	1.74E-02	NaN	SMARCC1,SP4	
Transport of vitamins, nucleosides, and related molecules	3.91E-01	2.33E-02	NaN	AVP	
B Cell Activating Factor Signaling	3.91E-01	2.33E-02	NaN	MAPK9	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	3.9E-01	1.56E-02	NaN	DUSP23,PPP1R11,PPP1R14A	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	3.9E-01	1.56E-02	NaN	DUSP23,PPP1R11,PPP1R14A	
GNRH Signaling	3.86E-01	1.55E-02	NaN	GNG5,MAP2K1,MAPK9	
Amyotrophic Lateral Sclerosis Signaling	3.85E-01	1.71E-02	NaN	GRIK4,RAB5A	
Cholecystokinin/Gastrin-mediated Signaling	3.85E-01	1.71E-02	NaN	MAP2K1,MAPK9	
Collagen chain trimerization	3.84E-01	2.27E-02	NaN	COL6A5	
Aggrephagy	3.84E-01	2.27E-02	NaN	DYNC1I2	
Aspirin ADME	3.84E-01	2.27E-02	NaN	BSG	
Pyrimidine Ribonucleotides De Novo Biosynthesis	3.84E-01	2.27E-02	NaN	NME4	
Pre-NOTCH Expression and Processing	3.81E-01	1.69E-02	NaN	H2AJ,POGLUT1	
IL-33 Signaling Pathway	3.8E-01	1.54E-02	NaN	AKT1,MAP2K1,MAPK9	
SUMOylation of transcription cofactors	3.76E-01	2.22E-02	NaN	DDX5	
Interleukin-10 signaling	3.76E-01	2.22E-02	NaN	TNFRSF1A	
Binding and Uptake of Ligands by Scavenger Receptors	3.76E-01	1.68E-02	NaN	AMBP,MASP1	
Regulation of lipid metabolism by PPARalpha	3.76E-01	1.68E-02	NaN	ACOX1,ANGPTL4	
Virus Entry via Endocytic Pathways	3.76E-01	1.68E-02	NaN	AP2A1,HLA-A	
Bladder Cancer Signaling	3.76E-01	1.68E-02	NaN	MAP2K1,MMP13	
RAR Activation	3.73E-01	1.38E-02	NaN	AKT1,Il36a,MAP2K1,MAPK9,MMP13,SMARCC1	
Nitric Oxide Signaling in the Cardiovascular System	3.72E-01	1.67E-02	NaN	AKT1,MAP2K1	
M-decay: degradation of maternal mRNAs by maternally stored factors	3.69E-01	2.17E-02	NaN	PAIP2	
MIF Regulation of Innate Immunity	3.69E-01	2.17E-02	NaN	MAPK9	
Apelin Pancreas Signaling Pathway	3.69E-01	2.17E-02	NaN	MAPK9	
IL-23 Signaling Pathway	3.69E-01	2.17E-02	NaN	AKT1	
Circadian Rhythm Signaling	3.66E-01	1.44E-02	NaN	EIF4EBP2,GNG5,MAP2K1,MLST8	
Renin-Angiotensin Signaling	3.64E-01	1.64E-02	NaN	MAP2K1,MAPK9	
Role of RIG1-like Receptors in Antiviral Innate Immunity	3.62E-01	2.13E-02	NaN	RIGI	
Proteasomal PSMD10 Signaling Pathway	3.6E-01	1.63E-02	NaN	AKT1,CTNNB1	
Endothelin-1 Signaling	3.57E-01	1.49E-02	NaN	MAPK15,MAPK9,PLA2R1	
G alpha (z) signalling events	3.56E-01	2.08E-02	NaN	GNG5	
Complex IV assembly	3.56E-01	2.08E-02	NaN	CMC1	
ID1 Signaling Pathway	3.54E-01	1.48E-02	NaN	AKT1,CTNNB1,TNFRSF1A	
3-phosphoinositide Degradation	3.54E-01	1.48E-02	NaN	DUSP23,PPP1R11,PPP1R14A	
Oxidative Stress Induced Senescence	3.52E-01	1.6E-02	NaN	H2AJ,MAPK9	
Sphingosine-1-phosphate Signaling	3.52E-01	1.6E-02	NaN	AKT1,PDGFA	
Antioxidant Action of Vitamin C	3.52E-01	1.6E-02	NaN	MAPK9,PLA2R1	
Th1 Pathway	3.52E-01	1.6E-02	NaN	HLA-A,ICOSLG	
Pyruvate metabolism	3.49E-01	2.04E-02	NaN	GSTZ1	
Signaling by ERBB2	3.43E-01	2E-02	NaN	AKT1	
Signaling by TGFBR3	3.43E-01	2E-02	NaN	ARRB1	
MYC Mediated Apoptosis Signaling	3.43E-01	2E-02	NaN	TNFRSF1A	
D-myo-inositol-5-phosphate Metabolism	3.42E-01	1.45E-02	NaN	DUSP23,PPP1R11,PPP1R14A	
GP6 Signaling Pathway	3.4E-01	1.56E-02	NaN	AKT1,COL6A5	
Irritable Bowel Syndrome Signaling Pathway	3.38E-01	1.38E-02	NaN	Il36a,LRP6,MMP13,TNFRSF1A	
Gap junction trafficking and regulation	3.36E-01	1.96E-02	NaN	TJP1	
Assembly of RNA Polymerase II Complex	3.36E-01	1.96E-02	NaN	GTF2E1	
Glycerophospholipid biosynthesis	3.36E-01	1.55E-02	NaN	CHKB,PLA2R1	
Cardiac conduction	3.33E-01	1.54E-02	NaN	CASQ2,MME	
G Beta Gamma Signaling	3.33E-01	1.54E-02	NaN	AKT1,GNG5	
Proteasome assembly	3.3E-01	1.92E-02	NaN	PSMG3	
TNFR1 Signaling	3.3E-01	1.92E-02	NaN	TNFRSF1A	
Amyloid Processing	3.3E-01	1.92E-02	NaN	AKT1	
TR/RXR Activation	3.29E-01	1.53E-02	NaN	AKT1,TSHB	
Ribotoxic Stress Signaling Pathway	3.24E-01	1.89E-02	NaN	MAPK9	
Spliceosomal Cycle	3.24E-01	1.89E-02	NaN	SF3B6	
Epigenetic regulation of gene expression by MLL3 and MLL4 complexes	3.22E-01	1.5E-02	NaN	ANGPTL4,H2AJ	
fMLP Signaling in Neutrophils	3.22E-01	1.5E-02	NaN	GNG5,MAP2K1	
3-phosphoinositide Biosynthesis	3.16E-01	1.39E-02	NaN	DUSP23,PPP1R11,PPP1R14A	
Cohesin Chromatin Regulation Pathway	3.14E-01	1.34E-02	NaN	DDX5,FAT2,MECP2,SMC3	
Cell surface interactions at the vascular wall	3.13E-01	1.38E-02	NaN	BSG,ITGAV,JAM3	
Intrinsic Pathway for Apoptosis	3.13E-01	1.82E-02	NaN	AKT1	
Signaling by PTK6	3.13E-01	1.82E-02	NaN	AKT1	
Lymphotoxin β Receptor Signaling	3.13E-01	1.82E-02	NaN	AKT1	
Somitogenesis	3.07E-01	1.79E-02	NaN	CTNNB1	
FAT10 Signaling Pathway	3.07E-01	1.79E-02	NaN	UBE2Z	
CGAS-STING Signaling Pathway	3.04E-01	1.45E-02	NaN	Il36a,MAP1LC3A	
CCR3 Signaling in Eosinophils	3.04E-01	1.45E-02	NaN	GNG5,MAP2K1	
Complement cascade	3.01E-01	1.44E-02	NaN	MASP1,VTN	
STAT3 Pathway	3.01E-01	1.44E-02	NaN	MAP2K1,MAPK9	
Ephrin A Signaling	2.95E-01	1.42E-02	NaN	AKT1,MAP2K1	
Semaphorin Signaling in Neurons	2.92E-01	1.69E-02	NaN	SEMA3A	
Signaling by NOTCH4	2.88E-01	1.4E-02	NaN	AKT1,NME4	
GABA receptor activation	2.87E-01	1.67E-02	NaN	GNG5	
GADD45 Signaling	2.87E-01	1.67E-02	NaN	MAPK9	
Iron homeostasis signaling pathway	2.85E-01	1.39E-02	NaN	ISCU,PDGFA	
Thrombin Signaling	2.75E-01	1.29E-02	NaN	AKT1,GNG5,MAP2K1	
NCAM signaling for neurite out-growth	2.72E-01	1.59E-02	NaN	COL6A5	
DNA methylation	2.72E-01	1.59E-02	NaN	H2AJ	
Transcriptional Regulation by MECP2	2.72E-01	1.59E-02	NaN	MECP2	
Co-inhibition by BTLA	2.72E-01	1.59E-02	NaN	NME4	
UFMylation Signaling Pathway	2.68E-01	1.56E-02	NaN	AKT1	
Thrombopoietin Signaling	2.68E-01	1.56E-02	NaN	MAP2K1	
Activated PKN1 stimulates transcription of AR regulated genes KLK2 and KLK3	2.63E-01	1.54E-02	NaN	H2AJ	
RAB geranylgeranylation	2.63E-01	1.54E-02	NaN	RAB5A	
KEAP1-NFE2L2 pathway	2.59E-01	1.31E-02	NaN	AKT1,NME4	
CGRP in Inflammation and Nociception Signaling Pathway	2.59E-01	1.31E-02	NaN	AKT1,CTNNB1	
cAMP-mediated signaling	2.57E-01	1.25E-02	NaN	AKAP13,MAP2K1,PALM2AKAP2	
XIST Epigenetic Regulation Signaling Pathway	2.56E-01	1.3E-02	NaN	CHD4,NRP2	
Collagen biosynthesis and modifying enzymes	2.55E-01	1.49E-02	NaN	COL6A5	
Ribavirin ADME	2.55E-01	1.49E-02	NaN	NME4	
PXR/RXR Activation	2.55E-01	1.49E-02	NaN	AKT1	
Cell Cycle Control of Chromosomal Replication	2.55E-01	1.49E-02	NaN	MCM3	
IL-10 Signaling	2.53E-01	1.29E-02	NaN	AKT1,HLA-A	
Superpathway of Inositol Phosphate Compounds	2.53E-01	1.24E-02	NaN	DUSP23,PPP1R11,PPP1R14A	
Agrin Interactions at Neuromuscular Junction	2.51E-01	1.47E-02	NaN	MAPK9	
IL-12 Signaling and Production in Macrophages	2.5E-01	1.23E-02	NaN	AKT1,MAP2K1,RIGI	
Chromatin modifications during the maternal to zygotic transition (MZT)	2.47E-01	1.45E-02	NaN	H2AJ	
Mitotic Roles of Polo-Like Kinase	2.47E-01	1.45E-02	NaN	SMC3	
p75 NTR receptor-mediated signalling	2.45E-01	1.27E-02	NaN	AKAP13,NME4	
Neddylation	2.42E-01	1.21E-02	NaN	COMMD4,RNF7,UBE2D2	
Nucleosome assembly	2.39E-01	1.41E-02	NaN	H2AJ	
Basal Cell Carcinoma Signaling	2.39E-01	1.41E-02	NaN	CTNNB1	
Orexin Signaling Pathway	2.38E-01	1.2E-02	NaN	AKT1,GNG5,MLST8	
HEY1 Signaling Pathway	2.37E-01	1.24E-02	NaN	AKT1,MMP13	
PRC2 methylates histones and DNA	2.35E-01	1.39E-02	NaN	H2AJ	
COPII-mediated vesicle transport	2.31E-01	1.37E-02	NaN	LMAN2L	
ERK5 Signaling	2.28E-01	1.35E-02	NaN	AKT1	
Stearate Biosynthesis I (Animals)	2.28E-01	1.35E-02	NaN	ACSBG1	
Phospholipases	2.24E-01	1.33E-02	NaN	PLA2R1	
Cellular response to hypoxia	2.17E-01	1.3E-02	NaN	UBE2D2	
Angiopoietin Signaling	2.17E-01	1.3E-02	NaN	AKT1	
HIPPO signaling	2.17E-01	1.3E-02	NaN	MOB1A	
Signaling by NOTCH1	2.14E-01	1.28E-02	NaN	ARRB1	
DNA Damage/Telomere Stress Induced Senescence	2.14E-01	1.28E-02	NaN	H2AJ	
VDR/RXR Activation	2.14E-01	1.28E-02	NaN	PDGFA	
Maturity Onset Diabetes of Young (MODY) Signaling	2.14E-01	1.28E-02	NaN	APPL1	
Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza	2.14E-01	1.28E-02	NaN	CTNNB1	
TREM1 Signaling	2.1E-01	1.27E-02	NaN	AKT1	
IL-7 Signaling Pathway	2.1E-01	1.27E-02	NaN	AKT1	
IL-17A Signaling in Fibroblasts	2.07E-01	1.25E-02	NaN	MAPK9	
Melatonin Signaling	2.04E-01	1.23E-02	NaN	MAP2K1	
Role of JAK family kinases in IL-6-type Cytokine Signaling	2.04E-01	1.23E-02	NaN	MAPK9	
Estrogen-Dependent Breast Cancer Signaling	2.01E-01	1.22E-02	NaN	AKT1	
Chemokine Signaling	1.98E-01	1.2E-02	NaN	MAP2K1	
NAD Signaling Pathway	-0E00	6.62E-03	NaN	AKT1	
Neurovascular Coupling Signaling Pathway	-0E00	4.26E-03	NaN	PLA2R1	
Pyroptosis Signaling Pathway	-0E00	9.8E-03	NaN	TNFRSF1A	
Immunogenic Cell Death Signaling Pathway	-0E00	1.05E-02	NaN	TNFRSF1A	
Macrophage Classical Activation Signaling Pathway	-0E00	5.32E-03	NaN	Il36a	
Macrophage Alternative Activation Signaling Pathway	-0E00	5.18E-03	NaN	MLST8	
S100 Family Signaling Pathway	-0E00	1.14E-02	NaN	AKT1,BSG,CELSR2,CTNNB1,MAP2K1,MAPK15,MAPK9,MMP13,PLG	
Synaptic Long Term Potentiation	-0E00	7.63E-03	NaN	MAP2K1	
Synaptic Long Term Depression	-0E00	9.71E-03	NaN	MAP2K1,PLA2R1	
Chaperone Mediated Autophagy Signaling Pathway	-0E00	6.27E-03	NaN	AKT1,HK2,MLST8,MMP13	
WNK Renal Signaling Pathway	-0E00	9.26E-03	NaN	AKT1	
Acetylcholine Receptor Signaling Pathway	-0E00	9.76E-03	NaN	ADAM19,AKT1	
Adrenergic Receptor Signaling Pathway (Enhanced)	-0E00	4.88E-03	NaN	Il36a	
GABAergic Receptor Signaling Pathway (Enhanced)	-0E00	7.14E-03	NaN	GNG5	
Glutaminergic Receptor Signaling Pathway (Enhanced)	-0E00	1.2E-02	NaN	AKT1,GRIK4,MLST8,PLA2R1	
NFKBIE Signaling Pathway	-0E00	2.22E-03	NaN	TNFRSF1A	
PPARα/RXRα Activation	-0E00	9.76E-03	NaN	ACOX1,MAP2K1	
Opioid Signalling	-0E00	1.11E-02	NaN	GNG5	
G alpha (i) signalling events	-0E00	3.88E-03	NaN	GNG5	
Potassium Channels	-0E00	9.71E-03	NaN	GNG5	
PI Metabolism	-0E00	1.19E-02	NaN	RAB5A	
Telomere Maintenance	-0E00	8.06E-03	NaN	H2AJ	
Integration of energy metabolism	-0E00	9.26E-03	NaN	GNG5	
Degradation of beta-catenin by the destruction complex	-0E00	1.09E-02	NaN	CTNNB1	
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	-0E00	1.65E-03	NaN	HLA-A	
TCR signaling	-0E00	7.87E-03	NaN	UBE2D2	
Fc epsilon receptor (FCERI) signaling	-0E00	9.52E-03	NaN	MAPK9,UBE2D2	
Class A/1 (Rhodopsin-like receptors)	-0E00	9.04E-03	NaN	AVP,CGA,TSHB	
Class B/2 (Secretin family receptors)	-0E00	1.05E-02	NaN	GNG5	
Transcriptional regulation of white adipocyte differentiation	-0E00	1.19E-02	NaN	ANGPTL4	
ABC-family proteins mediated transport	-0E00	8.47E-03	NaN	EIF2B2	
Protein folding	-0E00	1.01E-02	NaN	GNG5	
G alpha (q) signalling events	-0E00	1.15E-02	NaN	AVP,GNG5	
Platelet homeostasis	-0E00	1.16E-02	NaN	GNG5	
Transport of bile salts and organic acids, metal ions and amine compounds	-0E00	1.19E-02	NaN	BSG	
SIRT1 negatively regulates rRNA expression	-0E00	1.19E-02	NaN	H2AJ	
Interleukin-1 family signaling	-0E00	7.69E-03	NaN	MAP2K1	
Mitotic G2-G2/M phases	-0E00	4.83E-03	NaN	DYNC1I2	
Regulation of mitotic cell cycle	-0E00	1.1E-02	NaN	UBE2S	
Mitotic G1 phase and G1/S transition	-0E00	7.52E-03	NaN	AKT1	
B-WICH complex positively regulates rRNA expression	-0E00	1.12E-02	NaN	H2AJ	
Activation of anterior HOX genes in hindbrain during early embryogenesis	-0E00	8.26E-03	NaN	H2AJ	
Cilium Assembly	-0E00	4.9E-03	NaN	DYNC1I2	
C-type lectin receptors (CLRs)	-0E00	6.85E-03	NaN	UBE2D2	
RAF/MAP kinase cascade	-0E00	1.14E-02	NaN	ARRB1,MAP2K1,PDGFA	
Interleukin-4 and Interleukin-13 signaling	-0E00	9.01E-03	NaN	AKT1	
Regulation of TP53 Activity through Phosphorylation	-0E00	1.08E-02	NaN	RAD1	
Keratinization	-0E00	9.26E-03	NaN	DSC1,TGM1	
Interferon gamma signaling	-0E00	1.02E-02	NaN	HLA-A	
Meiotic recombination	-0E00	1.15E-02	NaN	H2AJ	
Amyloid fiber formation	-0E00	8.06E-03	NaN	UBE2L6	
Ion channel transport	-0E00	1.09E-02	NaN	CASQ2,STOM	
Pancreatic Secretion Signaling Pathway	-0E00	7.97E-03	NaN	AKT1,MLST8	
BBSome Signaling Pathway	-0E00	4.07E-03	NaN	CELSR2,RAB5A	
